brand,model,year,pieces,cover,compression,driver_spin,greenside_spin,launch,feel,swing_speed_min_mph,swing_speed_max_mph,price_usd,price_tier,category,url
Titleist,Pro V1,2025,3,Urethane,90,mid,high,mid,mid,90,120,55,premium,tour,https://www.titleist.com/product/pro-v1/
Titleist,Pro V1x,2025,4,Urethane,100,high,high,high,firm,95,125,55,premium,tour,https://www.titleist.com/product/pro-v1x/
Titleist,Pro V1x Left Dash,2024,4,Urethane,102,low,high,mid,firm,100,130,55,premium,tour,https://www.titleist.com/product/pro-v1x-left-dash/
Titleist,AVX,2024,3,Urethane,82,low,mid,low,soft,85,115,50,premium,tour,https://www.titleist.com/product/avx/
Titleist,Tour Speed,2024,3,Urethane,85,mid,mid,mid,mid,90,110,40,mid,tour,https://www.titleist.com/product/tour-speed/
Titleist,Tour Soft,2024,2,Ionomer,65,mid,mid,mid,soft,75,100,35,mid,soft-distance,https://www.titleist.com/product/tour-soft/
Titleist,Velocity,2024,2,Ionomer,65,low,low,high,firm,80,110,30,mid,distance,https://www.titleist.com/product/velocity/
Titleist,TruFeel,2024,2,Ionomer,55,low,low,low,soft,70,100,25,value,soft-distance,https://www.titleist.com/product/trufeel/
TaylorMade,TP5,2024,5,Urethane,85,mid,high,mid,mid,90,120,50,premium,tour,https://www.taylormadegolf.com/TP5-Golf-Balls/
TaylorMade,TP5x,2024,5,Urethane,97,low,high,high,firm,100,130,50,premium,tour,https://www.taylormadegolf.com/TP5x-Golf-Balls/
TaylorMade,Tour Response,2024,3,Urethane,70,mid,high,mid,soft,85,110,40,mid,tour,https://www.taylormadegolf.com/Tour-Response-Golf-Balls/
TaylorMade,Soft Response,2024,3,Ionomer,35,low,low,mid,soft,70,95,30,value,soft-distance,https://www.taylormadegolf.com/Soft-Response-Golf-Balls/
TaylorMade,Distance+,2024,2,Ionomer,77,low,low,high,firm,80,110,20,value,distance,https://www.taylormadegolf.com/Distance-Golf-Balls/
Callaway,Chrome Tour,2024,4,Urethane,85,mid,high,mid,mid,95,120,55,premium,tour,https://www.callawaygolf.com/golf-balls/chrome-tour/
Callaway,Chrome Tour X,2024,4,Urethane,90,low,high,high,firm,100,130,55,premium,tour,https://www.callawaygolf.com/golf-balls/chrome-tour-x/
Callaway,Chrome Soft,2024,3,Urethane,75,mid,high,mid,soft,85,110,50,premium,tour,https://www.callawaygolf.com/golf-balls/chrome-soft/
Callaway,Chrome Soft X LS,2024,4,Urethane,90,low,high,low,firm,105,130,50,premium,tour,https://www.callawaygolf.com/golf-balls/chrome-soft-x-ls/
Callaway,Supersoft,2023,3,Hybrid Ionomer,38,low,low,high,soft,70,95,25,value,soft-distance,https://www.callawaygolf.com/golf-balls/supersoft/
Callaway,ERC Soft,2023,3,Hybrid Ionomer,60,low,mid,high,soft,80,105,35,mid,soft-distance,https://www.callawaygolf.com/golf-balls/erc-soft/
Callaway,Warbird,2023,2,Ionomer,70,low,low,high,firm,80,110,20,value,distance,https://www.callawaygolf.com/golf-balls/warbird/
Bridgestone,Tour B X,2024,3,Urethane,85,low,high,mid,firm,105,130,50,premium,tour,https://www.bridgestonegolf.com/en-us/balls/tour-series/tour-bx
Bridgestone,Tour B XS,2024,3,Urethane,80,mid,high,mid,soft,105,130,50,premium,tour,https://www.bridgestonegolf.com/en-us/balls/tour-series/tour-bxs
